1;5;AREZAS;Plochy u budov. Areály.;
2;null;ARUCZA;Plochy fabrik, nemocnic, apod.;
3;8;HRBITO;Hřbitov.;
4;14;KOLEJI;Kolejiště;
5;null;LETISTE;Letiště;
6;5;LPKOSO;Lesní půda, kosodřeviny.;
7;18;LPKROV;Lesní půda, křoviny.;
8;14;LPSTROM;Lesní půda, stromy.;
9;5;OBLEDR;Neurčeno;
10;5;ODPOCI;Odpočívadala;
11;14;ORNAPU;Orná půda;
12;5;OSPLSI;Ostatní plochy u silnic;
13;14;POTELO;Lom;
14;5;PRSTPR;Budovy;Elektro
15;18;SADZAH;Sad, zahrada;
16;18;SKLADK;Skládka;
17;6;TRTRPO;Travnatý povrch;
18;null;VODPLO;Vodní plocha;
19;8;ZAHPAR;Zahrada, park;
100;null;BAZMOC;Bažiny, močály;
101;null;BUBLBU;Bloky budov;
102;null;CHLVEZ;Chladící věž;
103;14;CHMELN;Chmelnice;
104;null;ELEKTR;Elektrárna;
105;14;HALODV;Halda, odval;
106;null;KUSLFO;Skleníky, zemědělské budovy;
107;18;RASELI;Rašeliniště;
108;5;ROZTRA;Trafostanice;
109;null;ROZZRI;Budovy;
110;18;SESPUD;Sesuv půdy;
111;null;SILO;Silo;
112;null;SKAUTV;Lesní školka;
113;null;USNAOD;Usazovací nádrž;
114;null;VANAZA;Budovy;
115;14;VINICE;Vinice;
214;8;LESPRU;Lesní průsek;
215;6;LINVEG;Alej;
224;14;PRHRJE;Hráz;
228;18;PROPUS;Propustek;Možná udělat neprůchodné
229;14;ROKVYM;Roklina;
241;null;VODOPA;Vodopád;
242;14;VODTOK;Vodní tok;
245;null;ZED;Zeď;
247;14;ZELTRA;Železniční trať;
248;14;ZELVLE;Železniční vlečka;
246;8;ZELPRE;Železniční přejezd;
220;6;PESINA;Pěšina;
203;5;CESTA;Cesta;
202;8;BROD;Brod;
213;6;LAVKA;Lávka;
231;5;SILDAL;Silnice, dálnice;
232;5;SILNEE;Silnice;
240;5;ULICE;Ulice;
239;5;TUNEL;Tunel;
222;5;PODJEZ;Podjezd;
218;5;MOST;Most;
